,Batch,Cell,Cell_line,Fullname,Place,Platform,Protocol,Protocol2,Read_type,Well,repeat
ERR1903947,Smart-Seq2 rep1,67,ESC,Smart-Seq2 rep1_67,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903949,Smart-Seq2 rep1,69,ESC,Smart-Seq2 rep1_69,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903948,Smart-Seq2 rep1,68,ESC,Smart-Seq2 rep1_68,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903950,Smart-Seq2 rep1,70,ESC,Smart-Seq2 rep1_70,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903954,Smart-Seq2 rep1,74,ESC,Smart-Seq2 rep1_74,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903953,Smart-Seq2 rep1,73,ESC,Smart-Seq2 rep1_73,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903959,Smart-Seq2 rep1,79,ESC,Smart-Seq2 rep1_79,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903957,Smart-Seq2 rep1,77,ESC,Smart-Seq2 rep1_77,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903956,Smart-Seq2 rep1,76,ESC,Smart-Seq2 rep1_76,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903951,Smart-Seq2 rep1,71,ESC,Smart-Seq2 rep1_71,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903952,Smart-Seq2 rep1,72,ESC,Smart-Seq2 rep1_72,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903964,Smart-Seq2 rep1,84,ESC,Smart-Seq2 rep1_84,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903955,Smart-Seq2 rep1,75,ESC,Smart-Seq2 rep1_75,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903961,Smart-Seq2 rep1,81,ESC,Smart-Seq2 rep1_81,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903958,Smart-Seq2 rep1,78,ESC,Smart-Seq2 rep1_78,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903960,Smart-Seq2 rep1,80,ESC,Smart-Seq2 rep1_80,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903966,Smart-Seq2 rep1,86,ESC,Smart-Seq2 rep1_86,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903963,Smart-Seq2 rep1,83,ESC,Smart-Seq2 rep1_83,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903965,Smart-Seq2 rep1,85,ESC,Smart-Seq2 rep1_85,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903962,Smart-Seq2 rep1,82,ESC,Smart-Seq2 rep1_82,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903967,Smart-Seq2 rep1,87,ESC,Smart-Seq2 rep1_87,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903973,Smart-Seq2 rep1,93,ESC,Smart-Seq2 rep1_93,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903971,Smart-Seq2 rep1,91,ESC,Smart-Seq2 rep1_91,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903974,Smart-Seq2 rep1,94,ESC,Smart-Seq2 rep1_94,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903975,Smart-Seq2 rep1,95,ESC,Smart-Seq2 rep1_95,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903972,Smart-Seq2 rep1,92,ESC,Smart-Seq2 rep1_92,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903969,Smart-Seq2 rep1,89,ESC,Smart-Seq2 rep1_89,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903968,Smart-Seq2 rep1,88,ESC,Smart-Seq2 rep1_88,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903970,Smart-Seq2 rep1,90,ESC,Smart-Seq2 rep1_90,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903976,Smart-Seq2 rep1,96,ESC,Smart-Seq2 rep1_96,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep1,PE,UNK,Smart-Seq2 rep1
ERR1903684,Smart-Seq2 rep2,14,ESC,Smart-Seq2 rep2_14,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep2,PE,UNK,Smart-Seq2 rep2
ERR1903701,Smart-Seq2 rep2,31,ESC,Smart-Seq2 rep2_31,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep2,PE,UNK,Smart-Seq2 rep2
ERR1903720,Smart-Seq2 rep2,50,ESC,Smart-Seq2 rep2_50,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep2,PE,UNK,Smart-Seq2 rep2
ERR1903685,Smart-Seq2 rep2,15,ESC,Smart-Seq2 rep2_15,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep2,PE,UNK,Smart-Seq2 rep2
ERR1903690,Smart-Seq2 rep2,20,ESC,Smart-Seq2 rep2_20,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep2,PE,UNK,Smart-Seq2 rep2
ERR1903691,Smart-Seq2 rep2,21,ESC,Smart-Seq2 rep2_21,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep2,PE,UNK,Smart-Seq2 rep2
ERR1903713,Smart-Seq2 rep2,43,ESC,Smart-Seq2 rep2_43,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep2,PE,UNK,Smart-Seq2 rep2
ERR1903695,Smart-Seq2 rep2,25,ESC,Smart-Seq2 rep2_25,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep2,PE,UNK,Smart-Seq2 rep2
ERR1903714,Smart-Seq2 rep2,44,ESC,Smart-Seq2 rep2_44,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep2,PE,UNK,Smart-Seq2 rep2
ERR1903708,Smart-Seq2 rep2,38,ESC,Smart-Seq2 rep2_38,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep2,PE,UNK,Smart-Seq2 rep2
ERR1903672,Smart-Seq2 rep2,2,ESC,Smart-Seq2 rep2_2,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep2,PE,UNK,Smart-Seq2 rep2
ERR1903674,Smart-Seq2 rep2,4,ESC,Smart-Seq2 rep2_4,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep2,PE,UNK,Smart-Seq2 rep2
ERR1903721,Smart-Seq2 rep2,51,ESC,Smart-Seq2 rep2_51,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep2,PE,UNK,Smart-Seq2 rep2
ERR1903682,Smart-Seq2 rep2,12,ESC,Smart-Seq2 rep2_12,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep2,PE,UNK,Smart-Seq2 rep2
ERR1903675,Smart-Seq2 rep2,5,ESC,Smart-Seq2 rep2_5,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep2,PE,UNK,Smart-Seq2 rep2
ERR1903697,Smart-Seq2 rep2,27,ESC,Smart-Seq2 rep2_27,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep2,PE,UNK,Smart-Seq2 rep2
ERR1903719,Smart-Seq2 rep2,49,ESC,Smart-Seq2 rep2_49,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep2,PE,UNK,Smart-Seq2 rep2
ERR1903677,Smart-Seq2 rep2,7,ESC,Smart-Seq2 rep2_7,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep2,PE,UNK,Smart-Seq2 rep2
ERR1903683,Smart-Seq2 rep2,13,ESC,Smart-Seq2 rep2_13,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep2,PE,UNK,Smart-Seq2 rep2
ERR1903689,Smart-Seq2 rep2,19,ESC,Smart-Seq2 rep2_19,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep2,PE,UNK,Smart-Seq2 rep2
ERR1903711,Smart-Seq2 rep2,41,ESC,Smart-Seq2 rep2_41,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep2,PE,UNK,Smart-Seq2 rep2
ERR1903722,Smart-Seq2 rep2,52,ESC,Smart-Seq2 rep2_52,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep2,PE,UNK,Smart-Seq2 rep2
ERR1903724,Smart-Seq2 rep2,54,ESC,Smart-Seq2 rep2_54,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep2,PE,UNK,Smart-Seq2 rep2
ERR1903710,Smart-Seq2 rep2,40,ESC,Smart-Seq2 rep2_40,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep2,PE,UNK,Smart-Seq2 rep2
ERR1903673,Smart-Seq2 rep2,3,ESC,Smart-Seq2 rep2_3,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep2,PE,UNK,Smart-Seq2 rep2
ERR1903680,Smart-Seq2 rep2,10,ESC,Smart-Seq2 rep2_10,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep2,PE,UNK,Smart-Seq2 rep2
ERR1903679,Smart-Seq2 rep2,9,ESC,Smart-Seq2 rep2_9,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep2,PE,UNK,Smart-Seq2 rep2
ERR1903687,Smart-Seq2 rep2,17,ESC,Smart-Seq2 rep2_17,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep2,PE,UNK,Smart-Seq2 rep2
ERR1903696,Smart-Seq2 rep2,26,ESC,Smart-Seq2 rep2_26,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep2,PE,UNK,Smart-Seq2 rep2
ERR1903706,Smart-Seq2 rep2,36,ESC,Smart-Seq2 rep2_36,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep2,PE,UNK,Smart-Seq2 rep2
ERR1903725,Smart-Seq2 rep2,55,ESC,Smart-Seq2 rep2_55,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep2,PE,UNK,Smart-Seq2 rep2
ERR1903694,Smart-Seq2 rep2,24,ESC,Smart-Seq2 rep2_24,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep2,PE,UNK,Smart-Seq2 rep2
ERR1903698,Smart-Seq2 rep2,28,ESC,Smart-Seq2 rep2_28,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep2,PE,UNK,Smart-Seq2 rep2
ERR1903671,Smart-Seq2 rep2,1,ESC,Smart-Seq2 rep2_1,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep2,PE,UNK,Smart-Seq2 rep2
ERR1903703,Smart-Seq2 rep2,33,ESC,Smart-Seq2 rep2_33,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep2,PE,UNK,Smart-Seq2 rep2
ERR1903678,Smart-Seq2 rep2,8,ESC,Smart-Seq2 rep2_8,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep2,PE,UNK,Smart-Seq2 rep2
ERR1903715,Smart-Seq2 rep2,45,ESC,Smart-Seq2 rep2_45,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep2,PE,UNK,Smart-Seq2 rep2
ERR1903676,Smart-Seq2 rep2,6,ESC,Smart-Seq2 rep2_6,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep2,PE,UNK,Smart-Seq2 rep2
ERR1903681,Smart-Seq2 rep2,11,ESC,Smart-Seq2 rep2_11,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep2,PE,UNK,Smart-Seq2 rep2
ERR1903727,Smart-Seq2 rep2,57,ESC,Smart-Seq2 rep2_57,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep2,PE,UNK,Smart-Seq2 rep2
ERR1903731,Smart-Seq2 rep2,61,ESC,Smart-Seq2 rep2_61,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep2,PE,UNK,Smart-Seq2 rep2
ERR1903707,Smart-Seq2 rep2,37,ESC,Smart-Seq2 rep2_37,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep2,PE,UNK,Smart-Seq2 rep2
ERR1903700,Smart-Seq2 rep2,30,ESC,Smart-Seq2 rep2_30,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep2,PE,UNK,Smart-Seq2 rep2
ERR1903709,Smart-Seq2 rep2,39,ESC,Smart-Seq2 rep2_39,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep2,PE,UNK,Smart-Seq2 rep2
ERR1903726,Smart-Seq2 rep2,56,ESC,Smart-Seq2 rep2_56,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep2,PE,UNK,Smart-Seq2 rep2
ERR1903712,Smart-Seq2 rep2,42,ESC,Smart-Seq2 rep2_42,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep2,PE,UNK,Smart-Seq2 rep2
ERR1903723,Smart-Seq2 rep2,53,ESC,Smart-Seq2 rep2_53,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep2,PE,UNK,Smart-Seq2 rep2
ERR1903705,Smart-Seq2 rep2,35,ESC,Smart-Seq2 rep2_35,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep2,PE,UNK,Smart-Seq2 rep2
ERR1903718,Smart-Seq2 rep2,48,ESC,Smart-Seq2 rep2_48,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep2,PE,UNK,Smart-Seq2 rep2
ERR1903699,Smart-Seq2 rep2,29,ESC,Smart-Seq2 rep2_29,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep2,PE,UNK,Smart-Seq2 rep2
ERR1903728,Smart-Seq2 rep2,58,ESC,Smart-Seq2 rep2_58,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep2,PE,UNK,Smart-Seq2 rep2
ERR1903702,Smart-Seq2 rep2,32,ESC,Smart-Seq2 rep2_32,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep2,PE,UNK,Smart-Seq2 rep2
ERR1903688,Smart-Seq2 rep2,18,ESC,Smart-Seq2 rep2_18,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep2,PE,UNK,Smart-Seq2 rep2
ERR1903704,Smart-Seq2 rep2,34,ESC,Smart-Seq2 rep2_34,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep2,PE,UNK,Smart-Seq2 rep2
ERR1903693,Smart-Seq2 rep2,23,ESC,Smart-Seq2 rep2_23,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep2,PE,UNK,Smart-Seq2 rep2
ERR1903686,Smart-Seq2 rep2,16,ESC,Smart-Seq2 rep2_16,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep2,PE,UNK,Smart-Seq2 rep2
ERR1903716,Smart-Seq2 rep2,46,ESC,Smart-Seq2 rep2_46,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep2,PE,UNK,Smart-Seq2 rep2
ERR1903692,Smart-Seq2 rep2,22,ESC,Smart-Seq2 rep2_22,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep2,PE,UNK,Smart-Seq2 rep2
ERR1903729,Smart-Seq2 rep2,59,ESC,Smart-Seq2 rep2_59,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep2,PE,UNK,Smart-Seq2 rep2
ERR1903730,Smart-Seq2 rep2,60,ESC,Smart-Seq2 rep2_60,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep2,PE,UNK,Smart-Seq2 rep2
ERR1903717,Smart-Seq2 rep2,47,ESC,Smart-Seq2 rep2_47,UK,HiSeq-2000,Smart-Seq2,HiSeq-2000 Smart-Seq2 rep2,PE,UNK,Smart-Seq2 rep2
CL100029125_L01_12,Smart-Seq2 rep2,38,ESC,Smart-Seq2 rep2_38,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep2,PE100,D2,Smart-Seq2 rep2
CL100029125_L01_19,Smart-Seq2 rep2,27,ESC,Smart-Seq2 rep2_27,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep2,PE100,C3,Smart-Seq2 rep2
CL100029125_L01_20,Smart-Seq2 rep2,39,ESC,Smart-Seq2 rep2_39,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep2,PE100,D3,Smart-Seq2 rep2
CL100029125_L01_21,Smart-Seq2 rep2,51,ESC,Smart-Seq2 rep2_51,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep2,PE100,E3,Smart-Seq2 rep2
CL100029125_L02_23,Smart-Seq2 rep2,81,ESC,Smart-Seq2 rep2_81,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep2,PE100,G9,Smart-Seq2 rep2
CL100029125_L01_45,Smart-Seq2 rep2,54,ESC,Smart-Seq2 rep2_54,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep2,PE100,E6,Smart-Seq2 rep2
CL100029125_L02_25,Smart-Seq2 rep2,10,ESC,Smart-Seq2 rep2_10,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep2,PE100,A10,Smart-Seq2 rep2
CL100029125_L02_19,Smart-Seq2 rep2,33,ESC,Smart-Seq2 rep2_33,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep2,PE100,C9,Smart-Seq2 rep2
CL100029125_L02_37,Smart-Seq2 rep2,59,ESC,Smart-Seq2 rep2_59,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep2,PE100,E11,Smart-Seq2 rep2
CL100029125_L01_9,Smart-Seq2 rep2,2,ESC,Smart-Seq2 rep2_2,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep2,PE100,A2,Smart-Seq2 rep2
CL100029125_L02_29,Smart-Seq2 rep2,58,ESC,Smart-Seq2 rep2_58,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep2,PE100,E10,Smart-Seq2 rep2
CL100029125_L01_36,Smart-Seq2 rep2,41,ESC,Smart-Seq2 rep2_41,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep2,PE100,D5,Smart-Seq2 rep2
CL100029125_L01_48,Smart-Seq2 rep2,90,ESC,Smart-Seq2 rep2_90,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep2,PE100,H6,Smart-Seq2 rep2
CL100029125_L02_38,Smart-Seq2 rep2,71,ESC,Smart-Seq2 rep2_71,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep2,PE100,F11,Smart-Seq2 rep2
CL100029125_L01_15,Smart-Seq2 rep2,74,ESC,Smart-Seq2 rep2_74,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep2,PE100,G2,Smart-Seq2 rep2
CL100029125_L01_2,Smart-Seq2 rep2,13,ESC,Smart-Seq2 rep2_13,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep2,PE100,B1,Smart-Seq2 rep2
CL100029125_L01_28,Smart-Seq2 rep2,40,ESC,Smart-Seq2 rep2_40,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep2,PE100,D4,Smart-Seq2 rep2
CL100029125_L01_32,Smart-Seq2 rep2,88,ESC,Smart-Seq2 rep2_88,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep2,PE100,H4,Smart-Seq2 rep2
CL100029125_L01_35,Smart-Seq2 rep2,29,ESC,Smart-Seq2 rep2_29,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep2,PE100,C5,Smart-Seq2 rep2
CL100029125_L01_24,Smart-Seq2 rep2,87,ESC,Smart-Seq2 rep2_87,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep2,PE100,H3,Smart-Seq2 rep2
CL100029125_L02_17,Smart-Seq2 rep2,9,ESC,Smart-Seq2 rep2_9,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep2,PE100,A9,Smart-Seq2 rep2
CL100029125_L01_14,Smart-Seq2 rep2,62,ESC,Smart-Seq2 rep2_62,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep2,PE100,F2,Smart-Seq2 rep2
CL100029125_L02_33,Smart-Seq2 rep2,11,ESC,Smart-Seq2 rep2_11,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep2,PE100,A11,Smart-Seq2 rep2
CL100029125_L02_32,Smart-Seq2 rep2,94,ESC,Smart-Seq2 rep2_94,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep2,PE100,H10,Smart-Seq2 rep2
CL100029125_L02_24,Smart-Seq2 rep2,93,ESC,Smart-Seq2 rep2_93,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep2,PE100,H9,Smart-Seq2 rep2
CL100029125_L01_8,Smart-Seq2 rep2,85,ESC,Smart-Seq2 rep2_85,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep2,PE100,H1,Smart-Seq2 rep2
CL100029125_L02_35,Smart-Seq2 rep2,35,ESC,Smart-Seq2 rep2_35,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep2,PE100,C11,Smart-Seq2 rep2
CL100029125_L01_46,Smart-Seq2 rep2,66,ESC,Smart-Seq2 rep2_66,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep2,PE100,F6,Smart-Seq2 rep2
CL100029125_L01_3,Smart-Seq2 rep2,25,ESC,Smart-Seq2 rep2_25,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep2,PE100,C1,Smart-Seq2 rep2
CL100029125_L01_5,Smart-Seq2 rep2,49,ESC,Smart-Seq2 rep2_49,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep2,PE100,E1,Smart-Seq2 rep2
CL100029125_L02_41,Smart-Seq2 rep2,12,ESC,Smart-Seq2 rep2_12,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep2,PE100,A12,Smart-Seq2 rep2
CL100029125_L01_30,Smart-Seq2 rep2,64,ESC,Smart-Seq2 rep2_64,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep2,PE100,F4,Smart-Seq2 rep2
CL100029125_L02_27,Smart-Seq2 rep2,34,ESC,Smart-Seq2 rep2_34,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep2,PE100,C10,Smart-Seq2 rep2
CL100029125_L01_38,Smart-Seq2 rep2,65,ESC,Smart-Seq2 rep2_65,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep2,PE100,F5,Smart-Seq2 rep2
CL100029125_L01_44,Smart-Seq2 rep2,42,ESC,Smart-Seq2 rep2_42,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep2,PE100,D6,Smart-Seq2 rep2
CL100029125_L01_42,Smart-Seq2 rep2,18,ESC,Smart-Seq2 rep2_18,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep2,PE100,B6,Smart-Seq2 rep2
CL100029125_L02_36,Smart-Seq2 rep2,47,ESC,Smart-Seq2 rep2_47,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep2,PE100,D11,Smart-Seq2 rep2
CL100029125_L02_28,Smart-Seq2 rep2,46,ESC,Smart-Seq2 rep2_46,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep2,PE100,D10,Smart-Seq2 rep2
CL100029125_L01_11,Smart-Seq2 rep2,26,ESC,Smart-Seq2 rep2_26,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep2,PE100,C2,Smart-Seq2 rep2
CL100029125_L01_29,Smart-Seq2 rep2,52,ESC,Smart-Seq2 rep2_52,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep2,PE100,E4,Smart-Seq2 rep2
CL100029125_L01_4,Smart-Seq2 rep2,37,ESC,Smart-Seq2 rep2_37,China,BGISEQ-500,Smart-Seq2,BGISEQ-500 Smart-Seq2 rep2,PE100,D1,Smart-Seq2 rep2
